label,time_s,polymerization_rate,efficiency,particle_radius_m,thiele_modulus,polymer_mass_g
kp=250,11547.769851323423,438.11442533006584,0.9999984780803839,5.354762469937612e-06,0.001592646714713167,7.395420689909065e-10
kp=250,11548.769917994534,437.983002153893,0.9999984785466344,5.354779765923788e-06,0.0015924052471528055,7.395492359488897e-10
kp=250,11549.769984665645,437.8516184082747,0.9999984789752956,5.354797056609927e-06,0.0015921638169988106,7.39556400756968e-10
kp=250,11550.770051336756,437.7202740714392,0.999998479439146,5.354814341997688e-06,0.001591922424245015,7.395635634157864e-10
kp=250,11551.770118007867,437.588969132049,0.9999984799393511,5.354831622088729e-06,0.0015916810688852527,7.395707239259895e-10
kp=250,11552.770184678979,437.45770356829115,0.999998480405301,5.354848896884707e-06,0.0015914397509133593,7.395778822882216e-10
kp=250,11553.77025135009,437.3264774106378,0.9999984808379759,5.354866166387279e-06,0.0015911984703231715,7.395850385031275e-10
kp=250,11554.770318021201,437.19529059540287,0.9999984812861779,5.354883430598103e-06,0.0015909572271085254,7.395921925713511e-10
kp=250,11555.770384692312,437.0641431425684,0.9999984817508616,5.354900689518834e-06,0.0015907160212632616,7.395993444935363e-10
kp=250,11556.770451363425,436.9330350302565,0.9999984822329435,5.354917943151128e-06,0.0015904748527812188,7.396064942703271e-10
kp=250,11557.770518034537,436.80196624703143,0.9999984826853615,5.354935191496639e-06,0.0015902337216562388,7.396136419023669e-10
kp=250,11558.770584705648,436.6709367605052,0.999998483156828,5.354952434557021e-06,0.001589992627882164,7.396207873902988e-10
kp=250,11559.770651376759,436.5399466115568,0.9999984835761621,5.354969672333929e-06,0.0015897515714528379,7.396279307347665e-10
kp=250,11560.77071804787,436.4089957363548,0.9999984840639926,5.354986904829016e-06,0.0015895105523621045,7.396350719364127e-10
kp=250,11561.770784718981,436.2780841443391,0.9999984845490494,5.355004132043934e-06,0.0015892695706038109,7.3964221099588e-10
kp=250,11562.770851390093,436.14721183447034,0.999998484983909,5.355021353980336e-06,0.001589028626171804,7.396493479138114e-10
