n,M_g_per_mol,weight_fraction,Mn,Mw,PDI
61,1711.05,8.541883970508199e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
62,1739.1000000000001,8.681741178314349e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
63,1767.15,8.821592787168318e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
64,1795.2,8.961438797238298e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
65,1823.25,9.101279208692201e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
66,1851.3,9.241114021698105e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
67,1879.3500000000001,9.380943236424018e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
68,1907.4,9.520766853037976e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
69,1935.45,9.660584871707998e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
70,1963.5,9.80039729260212e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
71,1991.55,9.940204115888257e-07,1402187.8329780614,2804347.635020272,1.9999800091434317
72,2019.6000000000001,1.0080005341734592e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
73,2047.65,1.0219800970308888e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
74,2075.7000000000003,1.0359591001779334e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
75,2103.75,1.0499375436313915e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
76,2131.8,1.0639154274080486e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
77,2159.85,1.0778927515247093e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
78,2187.9,1.091869515998174e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
79,2215.9500000000003,1.105845720845236e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
80,2244.0,1.1198213660826982e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
81,2272.05,1.133796451727351e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
82,2300.1,1.1477709777959947e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
83,2328.15,1.1617449443054151e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
84,2356.2000000000003,1.1757183512724234e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
85,2384.25,1.1896911987137935e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
86,2412.3,1.2036634866463426e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
87,2440.35,1.2176352150868481e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
88,2468.4,1.2316063840521095e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
89,2496.4500000000003,1.2455769935589196e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
90,2524.5,1.2595470436240706e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
